MD_Norm,BMK_STAT Norm,HRA_norm,YME_Norm,RHOB_Norm,Vertical_Norm,SMG Norm,PR_DYN,TNPH
0.70945,0.4313541,0.2,0.6446738,0.25958,0.8007745,0.4120796,0.2509109,0.0126
0.7095,0.4312722,0.2,0.6459763,0.25931,0.800831,0.4130943,0.2503601,0.016
0.70955,0.4372028,0.2,0.6454292,0.2588,0.8008875,0.4115611,0.253955,0.0158
0.7096,0.4446784,0.2,0.6431617,0.25822,0.800944,0.4084908,0.2589413,0.0147
0.70965,0.4493266,0.2,0.6379597,0.25702,0.8010005,0.4037683,0.2633645,0.0137
0.7097,0.4514406,0.2,0.638233,0.25782,0.801057,0.4036197,0.2643716,0.0141
0.70975,0.4492477,0.2,0.6376402,0.25777,0.8011135,0.4035413,0.2634416,0.0129
0.7098,0.4519713,0.2,0.6410206,0.2591,0.80117,0.4056235,0.2636204,0.0133
0.70985,0.4539884,0.2,0.6453172,0.26004,0.8012265,0.4085126,0.2630934,0.0117
0.7099,0.4542825,0.2,0.653215,0.26078,0.801283,0.4144127,0.2603491,0.0116
0.70995,0.4580786,0.2,0.6613886,0.26069,0.8013395,0.4199272,0.2593614,0.0128
0.71,0.4651708,0.2,0.6662529,0.26043,0.801396,0.4223695,0.2612874,0.0132
0.71005,0.4727466,0.2,0.6706896,0.26162,0.8014525,0.4244215,0.2635486,0.0136
0.7101,0.4747909,0.2,0.6727194,0.26271,0.801509,0.4256029,0.2638541,0.0145
0.71015,0.4629624,0.2,0.6699386,0.26323,0.8015655,0.4255378,0.2588219,0.0146
0.7102,0.4463982,0.2,0.6574703,0.26166,0.801622,0.4190477,0.2545277,0.0164
0.71025,0.4395846,0.2,0.6427359,0.26021,0.8016785,0.4090755,0.2563094,0.0165
0.7103,0.4333756,0.2,0.6263869,0.25777,0.801735,0.3977846,0.2591055,0.0194
0.71035,0.429476,0.2,0.6209142,0.25777,0.8017915,0.3943294,0.2590419,0.0202
0.7104,0.4182002,0.2,0.6144053,0.25618,0.801848,0.3914089,0.2551391,0.0198
0.71045,0.4132952,0.2,0.6162094,0.25758,0.8019045,0.393698,0.2515055,0.0172
0.7105,0.4131369,0.2,0.6193367,0.25844,0.801961,0.3961255,0.2501487,0.0158
0.71055,0.4178752,0.2,0.6288719,0.26151,0.8020175,0.4025362,0.2491789,0.0145
0.7106,0.4225699,0.2,0.6340677,0.26187,0.802074,0.4056226,0.2499162,0.0154
0.71065,0.4388082,0.2,0.6459382,0.26328,0.8021305,0.4116534,0.254662,0.0165
0.7107,0.4634706,0.2,0.655932,0.26315,0.802187,0.4148941,0.264123,0.0166
0.71075,0.4777862,0.2,0.6646564,0.26407,0.8022435,0.4190782,0.2681472,0.0154
0.7108,0.4720866,0.2,0.6626974,0.26239,0.8023,0.4185387,0.2660396,0.0141
0.71085,0.4748365,0.2,0.6616062,0.26125,0.8023565,0.4172768,0.2677775,0.0164
0.7109,0.4800082,0.2,0.6593294,0.25968,0.802413,0.4147637,0.27107,0.0201
0.71095,0.4760366,0.2,0.6583395,0.25949,0.8024695,0.4146506,0.2695068,0.023
0.711,0.4800139,0.2,0.6555112,0.25837,0.802526,0.4119309,0.2723986,0.0246
0.71105,0.492676,0.2,0.6512396,0.2574,0.8025825,0.4069139,0.2796931,0.0261
0.7111,0.4939454,0.2,0.6412201,0.25586,0.802639,0.3994215,0.28364,0.0267
0.71115,0.4987917,0.2,0.6365608,0.25632,0.8026955,0.3953921,0.2872991,0.0204
0.7112,0.503261,0.2,0.6344466,0.25716,0.802752,0.3932881,0.2898881,0.0161
0.71125,0.5037674,0.3,0.6355754,0.25751,0.8028085,0.3940374,0.2897259,0.0123
0.7113,0.4991002,0.3,0.6344886,0.25697,0.802865,0.393853,0.2881225,0.0126
0.71135,0.4911124,0.3,0.6297918,0.25636,0.8029215,0.3915005,0.2862703,0.0129
0.7114,0.4801282,0.3,0.6363488,0.25854,0.802978,0.3977928,0.2791045,0.0172
0.71145,0.4750909,0.2,0.6466028,0.26188,0.8030345,0.4060882,0.2731653,0.0212
0.7115,0.475047,0.2,0.6558745,0.26407,0.803091,0.4129731,0.2698914,0.0218
0.71155,0.4798242,0.2,0.6773498,0.26462,0.8031475,0.4282379,0.264723,0.0215
0.7116,0.478217,0.2,0.7032456,0.26362,0.803204,0.4480877,0.2549072,0.0199
0.71165,0.4543252,0.2,0.714392,0.2628,0.8032605,0.4614327,0.2379293,0.0194
0.7117,0.4455656,0.2,0.6971081,0.2606,0.803317,0.4497916,0.2392423,0.0195
0.71175,0.461587,0.2,0.6644276,0.25859,0.8033735,0.4216119,0.2600929,0.02
